x = 0, 238.31978563010705, 238.31978563010705, -0.0011000268933190841, 238.13523113082599, 0.18455449928106304
x = 1, 167.00992486318705, 167.00992486318694, -3.0456230976592774e-06, 167.00971520065426, 0.00020966253268284163
x = 2, 114.98603068721918, 114.98603068721938, 0.0004773782499939118, 114.8712297194592, 0.11480096776018911
x = 3, 77.34574920520303, 77.34574920520303, 0.00024312539396130698, 77.25714750964538, 0.08860169555765651
x = 4, 50.37263323783574, 50.37263323783574, -9.927554566690741e-05, 50.37310220303326, -0.0004689651975198217
x = 5, 31.261575880202574, 31.26157588020256, -0.00017109852924983355, 31.206656208892436, 0.054919671310123874
x = 6, 17.903774966504432, 17.90377496650442, -4.1271781485139836e-05, 17.890695610318478, 0.013079356185944135
x = 7, 8.722266479797987, 8.722266479797993, 6.751949201660839e-05, 8.707724512724457, 0.014541967073535389
x = 8, 2.546159091236528, 2.546159091236528, 5.997861922647558e-05, 2.5185299403896635, 0.02762915084686446
x = 9, -1.4870156588324885, -1.4870156588324879, -4.250527891011162e-06, -1.4862220712786411, -0.0007935875538467307
x = 10, -4.00790164613694, -4.007901646136932, -3.7491651578916145e-05, -4.017794333080523, 0.00989268694359069
x = 11, -5.474892958356743, -5.47489295835674, -1.933288066235048e-05, -5.481941633235873, 0.0070486748791322995
x = 12, -6.2193792674936565, -6.219379267493656, 1.1950034411653791e-05, -6.219953558201992, 0.0005742907083359228
x = 13, -6.479293252226495, -6.479293252226493, 1.970298793004121e-05, -6.485153672463614, 0.005860420237120856
x = 14, -6.423764670468724, -6.423764670468727, 4.11536501012538e-06, -6.42476064682435, 0.000995976355622652
x = 15, -6.171429326950827, -6.171429326950826, -1.1012252707396849e-05, -6.1724558477736045, 0.0010265208227782097
x = 16, -5.8042531209564725, -5.804253120956473, -9.903783945403556e-06, -5.806182086854455, 0.0019289658979815272
x = 17, -5.377988144529494, -5.377988144529495, 1.7128554868138496e-06, -5.377894845548664, -9.32989808308804e-05
x = 18, -4.929908299593826, -4.92990829959383, 8.62277870665741e-06, -4.930676649709539, 0.0007683501157087491
x = 19, -4.484333181595446, -4.4843331815954395, 4.385212744314389e-06, -4.4847845016385355, 0.00045132004309600404
x = 20, -4.056476960238578, -4.05647696023858, -3.994056787031033e-06, -4.0564996949081555, 2.2734669575363853e-05
x = 21, -3.6551564429574688, -3.6551564429574683, -6.378601661779218e-06, -3.655484739319385, 0.00032829636191644695
x = 22, -3.2847761821152006, -3.2847761821151997, -1.0105833215061948e-06, -3.2848161793434834, 3.999722828362806e-05
x = 23, -2.9468275415457152, -2.9468275415457152, 4.921551967376046e-06, -2.946826957816289, -5.837294261290538e-07
x = 24, -2.640993345130743, -2.640993345130743, 4.445930857368069e-06, -2.6410356447958683, 4.229966512525607e-05
x = 25, -2.3658985063400357, -2.3658985063400353, -1.385432899941634e-06, -2.3658948492283347, -3.657111700583471e-06
x = 26, -2.1195713348546783, -2.1195713348546783, -5.323339856805954e-06, -2.1195879130040733, 1.657814939504121e-05
x = 27, -1.8997164346436086, -1.8997164346436088, -2.609037500597816e-06, -1.89973058869949, 1.4154055881121508e-05
x = 28, -1.7038976373261656, -1.7038976373261654, 3.483905761847524e-06, -1.703871475681445, -2.6161644720357202e-05
x = 29, -1.5296853107801567, -1.529685310780155, 5.454086552971134e-06, -1.5296480266806127, -3.7284099542178595e-05
x = 30, -1.3747717753159905, -1.3747717753159925, 4.753666298562181e-07, -1.3747706260089376, -1.1493070548596052e-06
x = 31, -1.237037354870562, -1.237037354870561, -5.757055280868526e-06, -1.2370249967823594, -1.235808820165829e-05
x = 32, -1.1145639050549525, -1.1145639050549516, -5.205844917911509e-06, -1.114554444438334, -9.46061661766251e-06
x = 33, -1.00561827808285, -1.0056182780828502, 2.609300095334219e-06, -1.0056131577338103, -5.120349039877681e-06
x = 34, -0.9086359848342487, -0.9086359848342487, 8.593076237010322e-06, -0.908607689526567, -2.8295307681669435e-05
x = 35, -0.8222179098594589, -0.8222179098594584, 3.9579136614625166e-06, -0.8222089231198336, -8.98673962479446e-06
x = 36, -0.745129144628854, -0.7451291446288539, -7.865914896247815e-06, -0.7451301589333369, 1.0143044829602488e-06
x = 37, -0.6762834837597804, -0.6762834837597813, -1.2226537756404124e-05, -0.6762833397342273, -1.4402555403858486e-07
x = 38, -0.6147147949484232, -0.6147147949484227, 1.3338668983983966e-07, -0.6147146577743265, -1.371740961930712e-07
x = 39, -0.5595563838519807, -0.5595563838519805, 1.774497978765815e-05, -0.5595250221723745, -3.136167960593461e-05
x = 40, -0.5100456104434326, -0.5100456104434321, 1.6063372745620538e-05, -0.5100196839513969, -2.5926492035255322e-05
x = 41, -0.4655416011511976, -0.46554160115119764, -1.2322897353217549e-05, -0.46555526694819643, 1.3665796998796331e-05
x = 42, -0.42551931202439064, -0.42551931202439136, -3.719559823295937e-05, -0.4255544480431468, 3.513601875543282e-05
x = 43, -0.38951854611205716, -0.3895185461120567, -1.5576374948322168e-05, -0.3895340125229712, 1.5466410914488637e-05
x = 44, -0.3570794992394297, -0.3570794992394296, 4.794594458874773e-05, -0.3570272970254038, -5.220221402579828e-05
x = 45, -0.3277340484207178, -0.3277340484207179, 7.517412264969056e-05, -0.3276568282142134, -7.722020650452466e-05
x = 46, -0.3010843702522702, -0.30108437025227036, -1.1053084564266494e-05, -0.30109459095199703, 1.0220699726670723e-05
x = 47, -0.27689545117170733, -0.27689545117170744, -0.00015322894900720896, -0.2770254873708889, 0.00013003619918144915
